demo,pc_index,explained_var_ratio,loss,init_entropy,final_entropy,final_circ_std_bins,target_entropy,target_circ_std_bins,loss_broad_perbin,loss_sharp_perbin,frac_increase_sharp_over_broad,entropy_lambda,mean_perbin_entropy,trial_entropy,trial_circ_std_bins,target,final_far_mode_mass,target_far_mode_mass,candidate,PCA,KL,JS,Wasserstein,cand_entropy,cand_sigma,cand_shift_bins
basis,0,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,1,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,2,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,3,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,4,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,5,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,6,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,7,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,8,3.4649572626221925e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,9,3.46495580743067e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,10,4.950433662997966e-07,,,,,,,,,,,,,,,,,,,,,,,,
basis,11,4.950432526129589e-07,,,,,,,,,,,,,,,,,,,,,,,,
width_sweep,,,,,,,,,,,,,,,,,,,,0.009542304406278916,0.03728961944580078,0.008039474487304688,,,10.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.0022872083033020486,0.007921218872070312,0.001860976219177246,,,11.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,12.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.002074741436573546,0.005934000015258789,0.0015499591827392578,,,13.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.007859680171946295,0.020799636840820312,0.0056018829345703125,,,14.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.01669194738504308,0.04128885269165039,0.011356234550476074,,,15.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.02792362316528419,0.06512117385864258,0.018172264099121094,,,16.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.04094558065721135,0.09070634841918945,0.025564908981323242,,,17.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.05520803482273028,0.11693859100341797,0.03318297863006592,,,18.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.07023476983082554,0.14305639266967773,0.04078054428100586,,,19.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.08562951460291135,0.1685490608215332,0.04819166660308838,,,20.0,
